column,n_eval,rmse,mae,bias,nrmse,nbias,sd_ratio,method,repeat,fold,masking,fingerprint,computed_at
average_breath,152,0.7996886031667748,0.4767187058430018,-0.059886337836479925,0.5809011186887046,-0.04350198377921094,0.8472083900566242,calendar,0,0,Single night masking,fe6594b5a87a,2026-08-17T17:06:20
average_heart_rate,152,3.950840479383453,2.918313660381385,0.6076870467955829,0.5707634622175864,0.08779032324482872,0.7942141222284099,calendar,0,0,Single night masking,fe6594b5a87a,2026-08-17T17:06:20
average_hrv,152,15.107597985505492,9.209908433387305,-1.7037065388468056,0.5485207614138262,-0.06185751095644446,0.8999949371254661,calendar,0,0,Single night masking,fe6594b5a87a,2026-08-17T17:06:20
deep_sleep_duration,152,1512.639321642519,1166.4675565749199,-10.719617232318067,0.8128914113987139,-0.005760715497049834,0.6414670905425689,calendar,0,0,Single night masking,fe6594b5a87a,2026-08-17T17:06:20
light_sleep_duration,152,3681.6673526795403,2868.8842537747637,212.1579152642907,0.8395526581704782,0.04837964016015926,0.514175881136203,calendar,0,0,Single night masking,fe6594b5a87a,2026-08-17T17:06:20
rem_sleep_duration,152,1797.9470444705564,1420.0211268589862,87.57163995094591,0.7889520769764492,0.03842706459904526,0.6239319078681865,calendar,0,0,Single night masking,fe6594b5a87a,2026-08-17T17:06:20
average_breath,151,0.5712430585840516,0.4293276625159297,0.028050516488171223,0.41495618477062196,0.02037615184616604,0.9027967745670543,calendar,0,1,Single night masking,fe6594b5a87a,2026-08-17T17:06:20
average_heart_rate,151,4.282272268080479,2.6292020789791812,-0.03778385295260743,0.6186441995424209,-0.005458494930302985,0.7701606823976462,calendar,0,1,Single night masking,fe6594b5a87a,2026-08-17T17:06:20
average_hrv,151,12.755605949084712,8.952519951034025,-0.5247971824770878,0.4631255540556119,-0.01905413093440421,0.8829191709307234,calendar,0,1,Single night masking,fe6594b5a87a,2026-08-17T17:06:20
deep_sleep_duration,151,1455.8294343360747,1097.943226488658,-12.33657628242747,0.7823618140167075,-0.006629668264316314,0.6402009945120896,calendar,0,1,Single night masking,fe6594b5a87a,2026-08-17T17:06:20
