column,n_eval,rmse,mae,bias,nrmse,nbias,sd_ratio,method,repeat,fold,masking,fingerprint,computed_at
average_breath,152,0.6346052713550977,0.4037982583551787,-0.057745087817755905,0.4609830759074165,-0.041946560172642935,0.8921222166928582,kalman,0,0,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_heart_rate,152,3.5511986704102343,2.678473861382866,0.8021418283491114,0.5130286729425586,0.11588249374460463,0.8503141984854636,kalman,0,0,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_hrv,152,14.111354655879738,8.553562086537394,-1.786892765016352,0.5123495480783874,-0.06487780393494706,0.8943370807002857,kalman,0,0,Single night masking,ffa0507aad97,2026-08-17T17:06:19
deep_sleep_duration,152,1513.146178635818,1189.652513402588,6.913130203252111,0.8131637960252174,0.0037151117835562708,0.6361745793558854,kalman,0,0,Single night masking,ffa0507aad97,2026-08-17T17:06:19
light_sleep_duration,152,3682.955750955805,2848.0318248189124,195.44711158908336,0.8398464593464136,0.044568975506962254,0.5283008408304991,kalman,0,0,Single night masking,ffa0507aad97,2026-08-17T17:06:19
rem_sleep_duration,152,1776.1207941792704,1405.2837034014951,57.235923186437866,0.7793745615802776,0.025115534194669185,0.6495692844442043,kalman,0,0,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_breath,151,0.5105723944946184,0.3847284445003925,0.015083710211650067,0.37088445922448676,0.010956945117418937,0.9053301211529623,kalman,0,1,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_heart_rate,151,3.559577351145086,2.300661642309201,-0.07046806387813168,0.5142391102786128,-0.010180263243918441,0.8866017306684195,kalman,0,1,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_hrv,151,10.498005187616647,7.5320593346846,-0.07113919828586243,0.3811574682065587,-0.002582894199830324,0.9718893600105581,kalman,0,1,Single night masking,ffa0507aad97,2026-08-17T17:06:19
deep_sleep_duration,151,1455.714132063432,1124.533633052166,-21.93166063263951,0.7822998506485701,-0.01178606050424837,0.6812416084911517,kalman,0,1,Single night masking,ffa0507aad97,2026-08-17T17:06:19
light_sleep_duration,151,3873.391078158267,2897.9246435802584,-302.62678016092497,0.883272567641078,-0.0690097972954463,0.4994434219120131,kalman,0,1,Single night masking,ffa0507aad97,2026-08-17T17:06:19
rem_sleep_duration,151,1932.5799722869235,1533.3263548036443,-173.76069654571882,0.8480299727113715,-0.0762474416909137,0.6581727145655863,kalman,0,1,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_breath,151,0.46991925347559654,0.3561600915006132,-0.029617274512935454,0.34135364560198167,-0.02151425921157792,0.9610505103114536,kalman,0,2,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_heart_rate,151,3.4144290947387654,2.296427769811089,-0.3641970360995027,0.4932700729829724,-0.05261421268164556,0.8559681226390029,kalman,0,2,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_hrv,151,11.609779373228374,8.060843422561195,1.3743305822390182,0.42152333069489506,0.049898657491899756,0.9048672338751668,kalman,0,2,Single night masking,ffa0507aad97,2026-08-17T17:06:19
deep_sleep_duration,151,1326.1484914353546,1020.1422360049933,91.08704132773335,0.712671357608623,0.04895011819779525,0.7622019707909984,kalman,0,2,Single night masking,ffa0507aad97,2026-08-17T17:06:19
light_sleep_duration,151,3804.475768784079,2826.6497631255447,-578.6627810717624,0.867557396868892,-0.13195593993018906,0.5220636950732902,kalman,0,2,Single night masking,ffa0507aad97,2026-08-17T17:06:19
rem_sleep_duration,151,1709.252560343743,1274.5832288872064,-221.31732137563003,0.7500323002881374,-0.09711563024459648,0.6598370228920225,kalman,0,2,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_breath,151,0.45407419046934605,0.3495406636693567,0.03092151711051993,0.3298436468479987,0.022461672968605392,0.9553577465424962,kalman,0,3,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_heart_rate,151,3.791328684170108,2.6358897332431512,0.6267971232843064,0.547719377047456,0.0905510860437481,0.8645582732398847,kalman,0,3,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_hrv,151,12.38301484509179,8.446601499225883,-0.5811782255457997,0.449597661914565,-0.02110119180424114,0.8859737135955199,kalman,0,3,Single night masking,ffa0507aad97,2026-08-17T17:06:19
deep_sleep_duration,151,1558.512146396795,1187.907481104044,10.41303206619465,0.8375434383067926,0.00559595682336062,0.6374657646367324,kalman,0,3,Single night masking,ffa0507aad97,2026-08-17T17:06:19
light_sleep_duration,151,4053.0465539855095,3003.656934757046,-136.60588274108372,0.9242404818595823,-0.031151057656942028,0.5046063847489295,kalman,0,3,Single night masking,ffa0507aad97,2026-08-17T17:06:19
rem_sleep_duration,151,1781.4121884731212,1360.3720909739075,79.5341735768712,0.781696463402177,0.0349001666245157,0.6365239503653877,kalman,0,3,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_breath,151,0.531465048152188,0.41264838605744686,0.04720278472930021,0.3860610740142898,0.03428853474450996,0.9567248819531331,kalman,0,4,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_heart_rate,151,4.152363240998036,2.676415487613281,-0.45711689427588564,0.5998767179248223,-0.06603800446424768,0.8504391438690582,kalman,0,4,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_hrv,151,12.601950835937695,9.092264234209711,0.6684474734623117,0.45754670427820904,0.024269729540094553,0.9036901880095994,kalman,0,4,Single night masking,ffa0507aad97,2026-08-17T17:06:19
deep_sleep_duration,151,1431.009610507508,1098.3971734436618,-40.60255349137615,0.7690236564440464,-0.021819786476367096,0.6387918310395956,kalman,0,4,Single night masking,ffa0507aad97,2026-08-17T17:06:19
light_sleep_duration,151,3946.474089089757,3091.7445660841163,816.251366144315,0.8999381243622679,0.18613468804643324,0.5105784591361399,kalman,0,4,Single night masking,ffa0507aad97,2026-08-17T17:06:19
rem_sleep_duration,151,1802.7842603977301,1363.5568912281876,392.45925847822366,0.7910746820688873,0.17221394148246966,0.6559139039698741,kalman,0,4,Single night masking,ffa0507aad97,2026-08-17T17:06:19
average_breath,201,0.4918137807691978,0.36421366430383223,0.0463058255674199,0.3572580305683895,0.03363697540192209,0.9605779927160972,kalman,0,0,Night blocks masking (2-3 day gaps),ffa0507aad97,2026-08-17T17:06:19
average_heart_rate,201,4.00524494005202,2.820809624429287,0.0689370348916682,0.5786230755057741,0.009959081090493269,0.815715539866458,kalman,0,0,Night blocks masking (2-3 day gaps),ffa0507aad97,2026-08-17T17:06:19
average_hrv,201,13.79343866446574,9.83887471240067,-1.1301001351359847,0.5008067785498796,-0.04103123389921983,0.822288852304753,kalman,0,0,Night blocks masking (2-3 day gaps),ffa0507aad97,2026-08-17T17:06:19
deep_sleep_duration,201,1449.6476474433118,1125.8662260164128,150.8728335523335,0.7790397256640342,0.08107896499405151,0.7802030607546039,kalman,0,0,Night blocks masking (2-3 day gaps),ffa0507aad97,2026-08-17T17:06:19
