column,n_eval,rmse,mae,bias,nrmse,nbias,sd_ratio,method,repeat,fold,masking,fingerprint,computed_at
average_breath,152,0.8027791478121858,0.47533389524813674,-0.0585641583036153,0.5831461185983786,-0.04254154046826857,0.8662222798517603,matrix_completion,0,0,Single night masking,4340ade329b6,2026-08-17T17:08:32
average_heart_rate,152,4.06706578423835,2.9676651054068612,0.700932844435053,0.5875541065735003,0.10126120230857918,0.8442607945053782,matrix_completion,0,0,Single night masking,4340ade329b6,2026-08-17T17:08:32
average_hrv,152,15.032133048482569,9.382047413855716,-1.5426299005790518,0.5457808099830578,-0.05600920334636799,0.9196819987927175,matrix_completion,0,0,Single night masking,4340ade329b6,2026-08-17T17:08:32
deep_sleep_duration,152,1683.2080338310157,1296.6431368509682,-117.46385171175088,0.9045549290711283,-0.063124999357157,0.672007784921337,matrix_completion,0,0,Single night masking,4340ade329b6,2026-08-17T17:08:32
light_sleep_duration,152,3981.1900546712923,3051.7255344158407,304.70010612342935,0.907854613928801,0.06948259023308298,0.6289000587045811,matrix_completion,0,0,Single night masking,4340ade329b6,2026-08-17T17:08:32
rem_sleep_duration,152,2014.1100983743127,1572.2454033968552,148.89019179484072,0.8838059776335514,0.0653340855723324,0.7542721285184153,matrix_completion,0,0,Single night masking,4340ade329b6,2026-08-17T17:08:32
average_breath,151,0.6860266706234501,0.4590814968016796,0.051647483536937856,0.49833605085445964,0.03751720462847053,0.9227156585506259,matrix_completion,0,1,Single night masking,4340ade329b6,2026-08-17T17:08:32
average_heart_rate,151,4.248184396236019,2.8405647029297363,0.15562878561445967,0.6137196494738721,0.02248312098692717,0.8180272100296003,matrix_completion,0,1,Single night masking,4340ade329b6,2026-08-17T17:08:32
average_hrv,151,14.228991373930798,9.946545035940735,-0.8024169722939408,0.5166206560478673,-0.029133841728932037,0.9097938962439966,matrix_completion,0,1,Single night masking,4340ade329b6,2026-08-17T17:08:32
deep_sleep_duration,151,1489.9365401506561,1145.0631763232072,64.73187915962055,0.800690951034139,0.03478687077592089,0.6767474762052238,matrix_completion,0,1,Single night masking,4340ade329b6,2026-08-17T17:08:32
light_sleep_duration,151,3956.6373524768533,3040.99647850455,-262.4368659296083,0.9022557141863766,-0.05984505043150485,0.5247220706773249,matrix_completion,0,1,Single night masking,4340ade329b6,2026-08-17T17:08:32
rem_sleep_duration,151,1992.7152747390428,1573.9857311478947,-50.02997056630289,0.8744177753527875,-0.021953510427765926,0.7561721340116352,matrix_completion,0,1,Single night masking,4340ade329b6,2026-08-17T17:08:32
average_breath,151,0.5722703622773351,0.4192037523054956,-0.00827888765440493,0.41570242757350584,-0.006013859746027879,0.9635195046703118,matrix_completion,0,2,Single night masking,4340ade329b6,2026-08-17T17:08:32
average_heart_rate,151,5.208878034069321,3.2624127545823263,-0.008999869823850934,0.7525075427642923,-0.0013001782499126263,0.9082277981706554,matrix_completion,0,2,Single night masking,4340ade329b6,2026-08-17T17:08:32
average_hrv,151,14.06559269004424,9.299409973580683,1.8377196524370383,0.510688040513256,0.06672320669288634,0.909665857790389,matrix_completion,0,2,Single night masking,4340ade329b6,2026-08-17T17:08:32
