column,n_eval,rmse,mae,bias,nrmse,nbias,sd_ratio,method,repeat,fold,masking,fingerprint,computed_at
average_breath,152,0.6965120167417864,0.39825133729211276,-0.08079343657926714,0.5059527022183276,-0.05868909161109219,0.8690896040171727,multivar_interp,0,0,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_heart_rate,152,3.424134529975009,2.554682024065681,0.5291250237985812,0.49467218168532906,0.07644075535450885,0.8218221331404304,multivar_interp,0,0,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_hrv,152,14.03610560086012,8.4695256049844,-1.5243526479576663,0.509617434806997,-0.055345600003596104,0.9084521804424404,multivar_interp,0,0,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
deep_sleep_duration,152,1492.9130636625955,1168.1157637705012,-12.178959255892993,0.8022905328802955,-0.006544964974294107,0.6419495460697829,multivar_interp,0,0,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
light_sleep_duration,152,3670.409144262109,2882.126535636195,311.8423579284043,0.8369853814728122,0.07111128069144974,0.528261227324924,multivar_interp,0,0,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
rem_sleep_duration,152,1779.3770392742956,1403.7839449092637,105.10289715093862,0.7808034253161509,0.04611990617771117,0.6473713137026997,multivar_interp,0,0,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_breath,151,0.5196418749918045,0.3951118017603492,0.011267538182555272,0.3774726128456308,0.008184842836567256,0.9070751649176237,multivar_interp,0,1,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_heart_rate,151,4.038216379111454,2.4875549023543253,-0.032453872960148816,0.5833863386165123,-0.004688492230897393,0.8558214849836533,multivar_interp,0,1,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_hrv,151,12.552920948577183,8.100628191332977,-0.5956509400279953,0.4557665462959259,-0.021626661463621494,0.9246755398741425,multivar_interp,0,1,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
deep_sleep_duration,151,1482.493344050255,1104.4834877614142,10.479985538800229,0.7966909821738806,0.005631937577044384,0.6615329362030224,multivar_interp,0,1,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
light_sleep_duration,151,3856.7043966105753,2878.311721820441,-254.6312039959954,0.8794674037011003,-0.058065078587939106,0.5164555788610449,multivar_interp,0,1,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
rem_sleep_duration,151,1954.302371427826,1549.9645129983096,-129.340554928223,0.8575619174768376,-0.05675556449881811,0.6515247987965918,multivar_interp,0,1,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_breath,151,0.49685556950195775,0.36691841145438336,-0.021399197877337746,0.3609204320374793,-0.01554457314604746,0.9344992609861337,multivar_interp,0,2,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_heart_rate,151,3.8383463227776993,2.2673305534240202,-0.5226787775256907,0.5545118431915591,-0.07550948975160192,0.8457535180025381,multivar_interp,0,2,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_hrv,151,14.114201093911607,8.82521073253707,2.324390165720904,0.512452895437647,0.08439304942766385,0.906516719689979,multivar_interp,0,2,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
deep_sleep_duration,151,1307.5697844322553,1024.34078600521,74.33863160292138,0.7026871722568147,0.03994953344167328,0.7253379079014832,multivar_interp,0,2,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
light_sleep_duration,151,3654.5764357544836,2742.6199305368286,-511.54324830674517,0.8333749541201235,-0.11665027085418778,0.5105892466983493,multivar_interp,0,2,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
rem_sleep_duration,151,1650.8150004844076,1233.8893911595765,-220.26179597787103,0.7243894792905732,-0.09665245811868518,0.6244929543627677,multivar_interp,0,2,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_breath,151,0.5057757538181064,0.38656566685654054,0.07044228377957744,0.36740013554662077,0.05116991950179122,0.9204252533211064,multivar_interp,0,3,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_heart_rate,151,4.103487018580216,2.846917066972943,0.8273269838684582,0.5928157489809015,0.11952090097357834,0.8551954063465989,multivar_interp,0,3,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_hrv,151,14.3074909495421,9.0505931941418,-1.5617626427404525,0.519470787950125,-0.05670386746890916,0.8614568218793593,multivar_interp,0,3,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
deep_sleep_duration,151,1505.82143105781,1173.6073021092059,-16.248181881483745,0.8092274813257154,-0.008731762630605322,0.5973414737132741,multivar_interp,0,3,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
light_sleep_duration,151,3895.1670365473647,2961.1301276574477,-83.68399828006855,0.8882382698619673,-0.019082963362029897,0.49114977166498053,multivar_interp,0,3,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
rem_sleep_duration,151,1794.0256170742641,1368.5689938980472,33.31136409325159,0.787231326469068,0.014617265824994624,0.6282661497065155,multivar_interp,0,3,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_breath,151,0.5792087480624046,0.43010393765087557,0.04922107062938508,0.4207425344957251,0.03575463609014641,0.8943899426302975,multivar_interp,0,4,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_heart_rate,151,4.719444131179942,2.8873021484592716,-0.46077807071368915,0.6818008183603239,-0.06656692122267785,0.8310872837624306,multivar_interp,0,4,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_hrv,151,14.105279212591963,9.51592742299881,1.2760015389922623,0.5121289632586606,0.04632856503097048,0.9146163358444075,multivar_interp,0,4,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
deep_sleep_duration,151,1401.3885697849664,1091.359082468706,-71.0375290547357,0.7531053279598315,-0.038175523027443994,0.5785214838449446,multivar_interp,0,4,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
light_sleep_duration,151,3716.345032521669,2886.7873258858544,783.3571984647955,0.8474604172105378,0.17863363396734955,0.48581821512941203,multivar_interp,0,4,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
rem_sleep_duration,151,1724.0947294845923,1324.1798854033068,374.8606624551579,0.7565451507119145,0.16449155114457417,0.6391506312135654,multivar_interp,0,4,Single night masking,af1cd0a25f7f,2026-08-17T17:05:26
average_breath,201,0.5721475670805395,0.41096057445392165,0.03262766018754477,0.4156132280189471,0.023701030911387058,0.9198822556325517,multivar_interp,0,0,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_heart_rate,201,4.193831236480369,2.924824213804271,-0.17590377832397475,0.6058674474407894,-0.025412174968151197,0.7653906849239701,multivar_interp,0,0,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_hrv,201,13.785554217188297,9.86091690966496,0.14965327060680497,0.5005205131205176,0.005433552442954247,0.8522522051198955,multivar_interp,0,0,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
deep_sleep_duration,201,1422.0348152000909,1113.04602593415,127.6386058883123,0.7642006071420232,0.06859290579386051,0.7220256635517477,multivar_interp,0,0,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
light_sleep_duration,201,3980.3035189121465,3104.4506666945417,261.8417311225623,0.9076524518696425,0.0597093382768308,0.5114733597228494,multivar_interp,0,0,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
rem_sleep_duration,201,1773.1422688531138,1370.1825512825947,-18.612834298512517,0.7780675632737228,-0.008167445377988952,0.594117003166832,multivar_interp,0,0,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_breath,202,0.5971174783788077,0.45087728945788036,0.027858071330821674,0.43375160006686875,0.020236357922946573,0.8821742829380713,multivar_interp,0,1,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_heart_rate,202,4.960706730769726,3.030161439875902,-0.4206915143407558,0.716655142994299,-0.06077576315816232,0.8248238599059046,multivar_interp,0,1,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_hrv,202,14.771592620667255,8.884117875116164,1.3888622675074467,0.5363212099869861,0.05042626823953231,0.8983266960696221,multivar_interp,0,1,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
deep_sleep_duration,202,1391.7274132899488,1076.3597246008248,82.30669554687243,0.747913428591216,0.044231565947928805,0.609901467049068,multivar_interp,0,1,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
light_sleep_duration,202,3481.819391617511,2686.6218181148274,295.9041410463216,0.7939801305988431,0.0674767936321799,0.5360825601090272,multivar_interp,0,1,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
rem_sleep_duration,202,1750.4541824257226,1354.5924018216517,-20.084235817975717,0.7681118679908384,-0.008813106933159301,0.6171790562857927,multivar_interp,0,1,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_breath,194,0.5369133384004428,0.3866653815509233,-0.02625977198531363,0.3900187619038244,-0.019075338653535504,0.8757438308024381,multivar_interp,0,2,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_heart_rate,194,4.5842938311015855,2.9455879571430352,-0.5547086207099295,0.6622761492184035,-0.08013672395291177,0.8132056149769769,multivar_interp,0,2,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_hrv,194,15.20507324023022,9.094838406140276,1.8329941457862247,0.5520598548548823,0.06655163484482306,0.8992089430834423,multivar_interp,0,2,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
deep_sleep_duration,194,1465.417025972425,1132.8375105664036,-127.84445257808439,0.7875141796769658,-0.06870352767429588,0.6259086289256082,multivar_interp,0,2,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
light_sleep_duration,194,3762.8205772782076,2889.0329173942364,215.1226694657784,0.8580585140515995,0.04905571081843574,0.5315082994929357,multivar_interp,0,2,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
rem_sleep_duration,194,1800.2108446558289,1394.8035281202383,152.93746084452738,0.7899454487576277,0.06711005630108824,0.6273627776637706,multivar_interp,0,2,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_breath,196,0.5289988246332228,0.39920632090222036,0.04648491465143457,0.38426958668355876,0.03376706735125973,0.9251542380973478,multivar_interp,0,3,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_heart_rate,196,3.0668732233845932,2.3994818555554227,0.43187355290243373,0.4430599484579968,0.06239119133791759,0.9172698118347135,multivar_interp,0,3,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_hrv,196,12.58377969469541,8.671322399630688,-1.1218034384366147,0.4568869535859058,-0.0407300006790134,0.8836060012259384,multivar_interp,0,3,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
deep_sleep_duration,196,1498.4717490481528,1187.7583183790198,19.885503836616373,0.8052777668784705,0.010686457140733928,0.5985225314891425,multivar_interp,0,3,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
light_sleep_duration,196,4025.971076574163,2925.3305953828312,-35.51751661405014,0.9180662985740156,-0.0080992720494527,0.4621254807581031,multivar_interp,0,3,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
rem_sleep_duration,196,1865.3597577684784,1434.659975786702,-118.80910362139946,0.8185332597674446,-0.0521342880226016,0.6643613169562147,multivar_interp,0,3,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_breath,202,0.5875454809570353,0.41991886330463024,-0.01971140517239327,0.4267984135535512,-0.01431854508145541,0.9655781125102741,multivar_interp,0,4,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_heart_rate,202,4.55789759673112,2.776812713478451,-0.2363486582620284,0.6584627818608977,-0.03414442551757193,0.7993252164075773,multivar_interp,0,4,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
average_hrv,202,15.200690251512416,9.601114751137722,0.6064053439708929,0.5519007190140249,0.02201712815759691,0.8893610709747538,multivar_interp,0,4,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
deep_sleep_duration,202,1384.6332090587146,1051.697061658371,194.24152877789322,0.7441010077399475,0.10438527428273564,0.7582417978670808,multivar_interp,0,4,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
light_sleep_duration,202,4198.9152775550265,3016.8186077396467,-354.4037690961877,0.9575038005914042,-0.08081681420614735,0.4869490404708898,multivar_interp,0,4,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
rem_sleep_duration,202,1745.111013215037,1378.7516121896288,57.39014872493764,0.7657672469635554,0.025183209468697093,0.7300219230732437,multivar_interp,0,4,Night blocks masking (2-3 day gaps),af1cd0a25f7f,2026-08-17T17:05:26
