column,n_eval,rmse,mae,bias,nrmse,nbias,sd_ratio,method,repeat,fold,masking,fingerprint,computed_at
average_breath,152,0.8097348908029209,0.464623244218253,-0.20157197235194607,0.5881988339536159,-0.14642372514981852,0.8436404316586497,saits,0,0,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_heart_rate,152,3.817993507293422,2.73468155115367,-0.8145008474879106,0.5515715464389312,-0.11766795600006257,0.7773977932442765,saits,0,0,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_hrv,152,14.988168863014648,9.089514202262485,-0.814283591963539,0.5441845755246787,-0.02956469031669703,0.9054628658448926,saits,0,0,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
deep_sleep_duration,152,1553.037421425808,1206.3690211318433,353.87633959596087,0.8346013245821189,0.19017292029828273,0.6376988545220885,saits,0,0,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
light_sleep_duration,152,3850.838901529413,3042.3103769449153,856.7930332776996,0.878129859725735,0.19537964723149473,0.5225796422952902,saits,0,0,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
rem_sleep_duration,152,1856.3472880837207,1476.3565641245943,434.3053016207994,0.8145785233371674,0.19057628577515326,0.6590750599082218,saits,0,0,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_breath,151,0.5594886621693813,0.4151420337639166,-0.140933720549048,0.40641768365937325,-0.10237554418520281,0.917995779378503,saits,0,1,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_heart_rate,151,4.522657902072823,2.6755077077985225,-1.485976190070667,0.6533718321666192,-0.21467354084364057,0.7597608818312892,saits,0,1,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_hrv,151,12.774269639266654,8.754310267541802,0.9972796374148426,0.46380318802225656,0.036208839193505364,0.9151343224172495,saits,0,1,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
deep_sleep_duration,151,1480.9500059173067,1117.6793226088607,295.31893013665245,0.7958615932407702,0.15870420562045612,0.6724580714573389,saits,0,1,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
light_sleep_duration,151,3911.3123789865053,2930.997960761447,31.3032929372515,0.8919199890026136,0.007138277382890485,0.49564367294044565,saits,0,1,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
rem_sleep_duration,151,1939.2951975475253,1540.678276097597,23.735037858138615,0.8509766617882327,0.01041510509048798,0.6425770229706051,saits,0,1,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_breath,151,0.5661124021000187,0.3875859587796241,-0.1471894099521915,0.4112292289538456,-0.10691973420875037,0.9200304787413273,saits,0,2,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_heart_rate,151,4.610409549580936,2.765764603212474,-1.7659964410485904,0.6660489914719333,-0.25512704150336313,0.7935431316020182,saits,0,2,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_hrv,151,13.87916127372708,9.1629845862129,3.0478071779881226,0.5039191615340922,0.11065859149260603,0.8929024824594974,saits,0,2,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
deep_sleep_duration,151,1419.1464377680932,1098.5724381629732,511.91897611862623,0.7626483949432822,0.27510493285801235,0.7203021983085705,saits,0,2,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
light_sleep_duration,151,3772.231368913516,2842.550950457164,-119.9723582452441,0.8602045132351382,-0.027358015437888124,0.5028156932540573,saits,0,2,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
rem_sleep_duration,151,1669.4118284354834,1273.701177968698,113.88019489996867,0.7325499009683403,0.04997144747345447,0.6358016310554833,saits,0,2,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_breath,151,0.6052387580457308,0.40644793607197177,-0.10988809914640944,0.4396509719286378,-0.0798237207232175,0.9052181017729707,saits,0,3,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_heart_rate,151,4.015106613905764,2.5867446725404304,-0.6454962433744056,0.5800477554292981,-0.09325247947604204,0.8234515589702006,saits,0,3,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_hrv,151,13.692300468880136,8.992219924145676,-1.1931474126764423,0.49713469248405634,-0.043320329804124105,0.8521437749311868,saits,0,3,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
deep_sleep_duration,151,1594.025787715832,1190.79951293743,357.76431211276804,0.8566284466116092,0.19226231426117066,0.602217993721003,saits,0,3,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
light_sleep_duration,151,4024.2427510410425,3042.0522399081683,361.32504462340665,0.9176721781507081,0.08239511412033644,0.47098741270604816,saits,0,3,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
rem_sleep_duration,151,1882.366118832051,1414.3461251418157,397.06850478270127,0.8259957731513512,0.1742365118670632,0.6351633084250358,saits,0,3,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_breath,151,0.7350463248383419,0.4744649095181628,-0.14314047532888885,0.5339443762181081,-0.10397855104963083,0.8850463911150305,saits,0,4,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_heart_rate,151,5.229798985679841,3.1374220154038173,-1.8934339226034256,0.7555299160634467,-0.2735374679855476,0.7861956722492913,saits,0,4,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_hrv,151,13.917038890359429,9.801202618078799,1.655703870257171,0.5052944072307046,0.06011464883170803,0.9059785023587986,saits,0,4,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
deep_sleep_duration,151,1460.3423740908927,1104.1240983194327,307.79497277497126,0.7847870649766441,0.165408823015911,0.5759932979758066,saits,0,4,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
light_sleep_duration,151,3979.855803497741,3134.523810597327,1245.315997106238,0.9075503566420564,0.2839768657730129,0.46868299608598957,saits,0,4,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
rem_sleep_duration,151,1862.7201431245976,1404.8180698743222,672.4899112094067,0.8173749779025188,0.29509340323791605,0.6561766938134815,saits,0,4,Single night masking,edd949f7d0d0,2026-08-17T17:08:31
average_breath,201,0.7121512802909713,0.44555334534735036,-0.17456308998693354,0.5173132063635821,-0.1268042258619246,0.9003668955201671,saits,0,0,Night blocks masking (2-3 day gaps),edd949f7d0d0,2026-08-17T17:08:31
average_heart_rate,201,5.007362490691097,3.2217437216922984,-1.7601539501461854,0.7233953298492414,-0.25428299822881617,0.6951377721387726,saits,0,0,Night blocks masking (2-3 day gaps),edd949f7d0d0,2026-08-17T17:08:31
