column,n_eval,rmse,mae,bias,nrmse,nbias,sd_ratio,method,repeat,fold,masking,fingerprint,computed_at
average_breath,152,0.6974230168919284,0.39918669064747947,-0.09427141748707303,0.5066144610632672,-0.06847962026937873,0.8633381530589347,tabpfn,0,0,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_heart_rate,152,3.4063498700142962,2.4856466291203194,0.3836480461950886,0.49210289696059556,0.05542422891077924,0.8236972894505162,tabpfn,0,0,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_hrv,152,13.932151233636462,8.366408393185212,-1.4772554013306687,0.5058431002823081,-0.05363561158550867,0.9072708458458432,tabpfn,0,0,Single night masking,29bc653d4586,2026-08-17T17:45:13
deep_sleep_duration,152,1485.2656915417483,1163.352717864345,6.984488891302734,0.7981808399562371,0.003753459897224269,0.6315911258370014,tabpfn,0,0,Single night masking,29bc653d4586,2026-08-17T17:45:13
light_sleep_duration,152,3664.7342352644887,2864.37755811314,316.26082990076804,0.8356912979836126,0.07211885132021661,0.5212848900997163,tabpfn,0,0,Single night masking,29bc653d4586,2026-08-17T17:45:13
rem_sleep_duration,152,1762.8640970864772,1390.4504324298284,113.69767399281756,0.7735574276789359,0.04989135598842917,0.6412716159047496,tabpfn,0,0,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_breath,151,0.5144650658061872,0.3873833334225888,0.009441961917860254,0.3737121312841149,0.006858727533418787,0.906506764953604,tabpfn,0,1,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_heart_rate,151,4.025708060107117,2.417151369228852,-0.06865481640219757,0.5815793075559844,-0.009918310018365038,0.866508068952078,tabpfn,0,1,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_hrv,151,12.182269886928044,7.9665115435786,-0.5289459991736397,0.4423090924538467,-0.019204764549062368,0.9325350800864768,tabpfn,0,1,Single night masking,29bc653d4586,2026-08-17T17:45:13
deep_sleep_duration,151,1465.3688587478314,1089.8894039785012,23.757327083482075,0.7874882946410402,0.012767172496205051,0.6536196662206333,tabpfn,0,1,Single night masking,29bc653d4586,2026-08-17T17:45:13
light_sleep_duration,151,3860.590615054199,2875.6042018814555,-250.64449820920237,0.8803536013697194,-0.05715596618857752,0.5078929759341411,tabpfn,0,1,Single night masking,29bc653d4586,2026-08-17T17:45:13
rem_sleep_duration,151,1950.708802515454,1547.9493468839885,-114.6415748415891,0.8559850336270639,-0.05030554646049473,0.6440409964479544,tabpfn,0,1,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_breath,151,0.4883529570070784,0.3563578741383982,-0.023979287946332906,0.35474405652019325,-0.017418774180627337,0.9335996095496587,tabpfn,0,2,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_heart_rate,151,3.9271221449935667,2.259119994330539,-0.6564967481335663,0.5673369612679661,-0.09484168213184237,0.8504608470939488,tabpfn,0,2,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_hrv,151,13.890099642176539,8.53850210851556,2.176756700977068,0.5043163075394518,0.07903283130634875,0.9122805195861565,tabpfn,0,2,Single night masking,29bc653d4586,2026-08-17T17:45:13
deep_sleep_duration,151,1291.4655782242764,1005.2486778979189,72.49800112032639,0.6940327820617714,0.03896037978855032,0.7125896470809638,tabpfn,0,2,Single night masking,29bc653d4586,2026-08-17T17:45:13
light_sleep_duration,151,3659.34704328373,2754.2254661830807,-539.3064052176143,0.8344628243290797,-0.12298126981496028,0.4984142762639942,tabpfn,0,2,Single night masking,29bc653d4586,2026-08-17T17:45:13
rem_sleep_duration,151,1650.3761163913575,1237.8815294787767,-222.56133075800935,0.7241968937982314,-0.09766151049675671,0.6214278489971062,tabpfn,0,2,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_breath,151,0.47776420824489796,0.369969241715346,0.06490826146814001,0.34705229252967723,0.0471499550570912,0.9341599233782436,tabpfn,0,3,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_heart_rate,151,3.993948468138405,2.7735118954062963,0.7891268238594996,0.5769911155585417,0.11400226368671389,0.8622250985821823,tabpfn,0,3,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_hrv,151,14.042651223540558,8.96952781554342,-1.6027996942777725,0.5098550907162981,-0.05819382469288516,0.8612721187641114,tabpfn,0,3,Single night masking,29bc653d4586,2026-08-17T17:45:13
deep_sleep_duration,151,1507.5120038732564,1173.459805556985,-10.099291546907764,0.8101359940837523,-0.005427352867422765,0.59749714658442,tabpfn,0,3,Single night masking,29bc653d4586,2026-08-17T17:45:13
light_sleep_duration,151,3869.1036986440827,2939.7036905113764,-114.68206073690159,0.882294890810742,-0.02615163721026007,0.4856303964541177,tabpfn,0,3,Single night masking,29bc653d4586,2026-08-17T17:45:13
rem_sleep_duration,151,1795.7882143253134,1365.7763436754208,46.030170224013546,0.7880047668027892,0.020198369308762867,0.6263284669436509,tabpfn,0,3,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_breath,151,0.582920418163779,0.44031224707837013,0.04681195292521859,0.4234387256200622,0.034004630945817474,0.9006705512803311,tabpfn,0,4,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_heart_rate,151,4.6316917945834035,2.787735361305223,-0.5048202309399699,0.6691235595049274,-0.07292953089661146,0.8378576346727482,tabpfn,0,4,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_hrv,151,14.01234282547776,9.353046534180947,1.2772227080182097,0.5087546652483588,0.046372902758554324,0.9204613248421931,tabpfn,0,4,Single night masking,29bc653d4586,2026-08-17T17:45:13
deep_sleep_duration,151,1397.7481043451128,1083.0198558394957,-68.66111304553961,0.751148944143009,-0.036898438572381516,0.5876454840916366,tabpfn,0,4,Single night masking,29bc653d4586,2026-08-17T17:45:13
light_sleep_duration,151,3758.442937535061,2923.764526929733,753.9377405896847,0.85706025464063,0.1719249387771099,0.46236509287781963,tabpfn,0,4,Single night masking,29bc653d4586,2026-08-17T17:45:13
rem_sleep_duration,151,1718.527501150815,1310.2720635565402,364.20903940503695,0.7541022109321007,0.15981754244425797,0.6380054034545943,tabpfn,0,4,Single night masking,29bc653d4586,2026-08-17T17:45:13
average_breath,201,0.5257134548254876,0.38582718111165254,0.04037070170284911,0.3818830639932742,0.02932564711884766,0.9189036655089012,tabpfn,0,0,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
average_heart_rate,201,4.140390667902338,2.887525105487626,-0.18876314827864674,0.5981470841146462,-0.027269921074471033,0.7627281426346231,tabpfn,0,0,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
average_hrv,201,13.744993021406575,9.809643678254496,-0.035070017143214706,0.4990478330812823,-0.0012733084719786724,0.8381237288637295,tabpfn,0,0,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
deep_sleep_duration,201,1413.232657663959,1106.2330058988057,122.81925006957489,0.7594703332687177,0.0660029870356518,0.7151785368370575,tabpfn,0,0,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
light_sleep_duration,201,4002.4000590972323,3092.715329871434,232.3306241999288,0.9126912582776299,0.05297974380534278,0.509848359701055,tabpfn,0,0,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
rem_sleep_duration,201,1760.5893443879622,1363.094597838203,-17.304626729827195,0.7725592498562794,-0.007593394500570299,0.5866388311704283,tabpfn,0,0,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
average_breath,202,0.6076757607692114,0.44985408233439816,0.007815795281340392,0.44142123300615127,0.005677465208824134,0.8767303604940025,tabpfn,0,1,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
average_heart_rate,202,5.0344470945456,2.9713279205723184,-0.5325318173419653,0.7273081434263666,-0.07693292234733715,0.8313638741652793,tabpfn,0,1,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
average_hrv,202,14.863129506727253,8.88803054977168,1.3644104681833267,0.5396446954601403,0.049538481868987336,0.8977518654602058,tabpfn,0,1,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
deep_sleep_duration,202,1383.8054282691355,1071.9448222577828,77.58685988933793,0.7436561588690092,0.04169512926118642,0.6113199198706167,tabpfn,0,1,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
light_sleep_duration,202,3446.139381011227,2660.604654458459,247.38254392304378,0.7858438040710664,0.056412123214881954,0.5282705904365321,tabpfn,0,1,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
rem_sleep_duration,202,1731.9393023072464,1346.708748686298,-23.672550363394052,0.7599874056106112,-0.010387685128973877,0.6131028423138736,tabpfn,0,1,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
average_breath,194,0.5311888653731897,0.3836319852408266,-0.02743931482165021,0.38586045231648475,-0.019932169362958867,0.8794584721177751,tabpfn,0,2,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
average_heart_rate,194,4.600141503583825,2.919114579434427,-0.6107382040078223,0.6645656044523605,-0.08823111275868419,0.8142026751990908,tabpfn,0,2,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
average_hrv,194,15.31851300897084,9.038769669888925,1.855033475333052,0.5561785816295761,0.06735183020583771,0.9002641180312105,tabpfn,0,2,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
deep_sleep_duration,194,1453.969176453736,1119.5888456118616,-119.30287297684598,0.7813621126114195,-0.06411328821781687,0.6219081861005166,tabpfn,0,2,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
light_sleep_duration,194,3735.637741999046,2862.436363718444,191.28054751454982,0.8518598493084034,0.04361884894496682,0.524372198567106,tabpfn,0,2,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
rem_sleep_duration,194,1790.2882327074474,1390.1118859934168,151.98476610023843,0.7855913353649209,0.06669200700450696,0.6244832702365268,tabpfn,0,2,Night blocks masking (2-3 day gaps),29bc653d4586,2026-08-17T17:45:13
