column,n_eval,rmse,mae,bias,nrmse,nbias,sd_ratio,method,repeat,fold,masking,fingerprint,computed_at
average_breath,152,0.7937788198188963,0.47005838336040473,-0.06456030027955141,0.5766081979888275,-0.04689719286576957,0.8478903375323347,user_mean,0,0,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_heart_rate,152,3.888346448783098,2.8923658043887115,0.6002718385292315,0.5617351783727887,0.0867190752495597,0.7903982210545344,user_mean,0,0,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_hrv,152,15.069946922084908,9.279442782715583,-1.6841931754167343,0.5471537413226566,-0.06114902738568248,0.8916154823422628,user_mean,0,0,Single night masking,1735beb7db6d,2026-08-17T17:05:15
deep_sleep_duration,152,1503.937713982491,1173.2461842145426,-9.085073804218059,0.808215172965009,-0.004882312896211774,0.6271445364560136,user_mean,0,0,Single night masking,1735beb7db6d,2026-08-17T17:05:15
light_sleep_duration,152,3700.8185606447196,2907.1860805217525,289.0334192659735,0.843919822830979,0.0659100217916868,0.5028371695329655,user_mean,0,0,Single night masking,1735beb7db6d,2026-08-17T17:05:15
rem_sleep_duration,152,1798.7121203454678,1426.2678988912983,95.62832556671461,0.7892877977655638,0.0419623961148735,0.6274205574162979,user_mean,0,0,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_breath,151,0.5816654159071302,0.4402861324680893,0.03298173360669682,0.42252708049725163,0.0239582330829184,0.9003302213246982,user_mean,0,1,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_heart_rate,151,4.267174683121194,2.635181522557652,0.0027301016425071976,0.6164631067072502,0.0003944077909028862,0.7610906855518115,user_mean,0,1,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_hrv,151,12.789255241197795,8.929735838273167,-0.6809680273177339,0.4643472793986223,-0.024724320914625966,0.8816704871355552,user_mean,0,1,Single night masking,1735beb7db6d,2026-08-17T17:05:15
deep_sleep_duration,151,1461.979063350392,1090.464893004338,-5.243430339919535,0.7856666207459141,-0.0028178161367375487,0.6451911576910173,user_mean,0,1,Single night masking,1735beb7db6d,2026-08-17T17:05:15
light_sleep_duration,151,3940.9010200409725,2960.6890989173894,-226.2632801021712,0.8986672640465826,-0.05159617098972705,0.4846805111357056,user_mean,0,1,Single night masking,1735beb7db6d,2026-08-17T17:05:15
rem_sleep_duration,151,1945.463078496846,1553.768099854922,-137.81686190455775,0.8536831722499706,-0.06047502888161839,0.627723731897897,user_mean,0,1,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_breath,151,0.5892436437231833,0.41572588916849207,-0.019872868349556275,0.4280319745254901,-0.014435833410774592,0.9126021081814953,user_mean,0,2,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_heart_rate,151,4.1734479426398305,2.755526433311471,-0.5010221587004128,0.6029227475915968,-0.07238083730280166,0.8192955251296692,user_mean,0,2,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_hrv,151,13.708747730118882,9.250872381351568,2.126985443111928,0.4977318532151338,0.07722575593361887,0.8822148272388182,user_mean,0,2,Single night masking,1735beb7db6d,2026-08-17T17:05:15
deep_sleep_duration,151,1324.3528165202217,1019.1315697650182,57.43215869264881,0.7117063630489215,0.030864005630005367,0.702258185760146,user_mean,0,2,Single night masking,1735beb7db6d,2026-08-17T17:05:15
light_sleep_duration,151,3807.7261038419947,2827.1800819101745,-633.9603096404383,0.8682985902403767,-0.1445657665801446,0.4789232638045867,user_mean,0,2,Single night masking,1735beb7db6d,2026-08-17T17:05:15
rem_sleep_duration,151,1675.3938372680773,1275.0392212698025,-251.21233426250097,0.7351748494102207,-0.11023377662208328,0.6018210266815921,user_mean,0,2,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_breath,151,0.6244464087612638,0.4528477678835359,0.0764229478472786,0.4536035851631521,0.05551432860512366,0.8895010795581666,user_mean,0,3,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_heart_rate,151,4.245874365013855,3.0277726296709506,0.7635805578339637,0.6133859277189511,0.1103116881447366,0.8364537623203671,user_mean,0,3,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_hrv,151,13.995993244498928,9.362402146286678,-1.570354925066624,0.5081610510539706,-0.0570158326964957,0.8414222259621155,user_mean,0,3,Single night masking,1735beb7db6d,2026-08-17T17:05:15
deep_sleep_duration,151,1544.962836776529,1182.819104927544,2.780593625059538,0.8302620479164274,0.0014942892493013573,0.5895091416452667,user_mean,0,3,Single night masking,1735beb7db6d,2026-08-17T17:05:15
light_sleep_duration,151,4008.5344404543457,3006.5064665747473,-165.64324791181008,0.9140901180010234,-0.03777262195921595,0.4558861670402872,user_mean,0,3,Single night masking,1735beb7db6d,2026-08-17T17:05:15
rem_sleep_duration,151,1812.6877383937988,1379.7942386174059,42.73247454769042,0.7954203993458885,0.018751316760094776,0.6077341624787703,user_mean,0,3,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_breath,151,0.7645104552659301,0.5206898173989191,0.04972075950167378,0.5553473901647836,0.0361176146592536,0.8624068267925963,user_mean,0,4,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_heart_rate,151,4.752047233047351,2.994178264336862,-0.4598447498785201,0.686510869145209,-0.06643208777799166,0.793414565213291,user_mean,0,4,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_hrv,151,13.91790209690334,9.880727788190955,1.5337585103325835,0.5053257481964344,0.05568710437752723,0.8973012766286349,user_mean,0,4,Single night masking,1735beb7db6d,2026-08-17T17:05:15
deep_sleep_duration,151,1432.1538791577507,1123.484964589553,-82.68982654376883,0.7696385856904349,-0.0444374603024928,0.5669307722102829,user_mean,0,4,Single night masking,1735beb7db6d,2026-08-17T17:05:15
light_sleep_duration,151,3855.48841690381,3001.3788214984215,735.4479264351171,0.8791901165653266,0.1677085957087315,0.4542891372987186,user_mean,0,4,Single night masking,1735beb7db6d,2026-08-17T17:05:15
rem_sleep_duration,151,1752.8567123134103,1322.0505806347742,354.630956174047,0.7691661153618712,0.15561461072734079,0.6342112824832618,user_mean,0,4,Single night masking,1735beb7db6d,2026-08-17T17:05:15
average_breath,201,0.721663775401765,0.4864900744150543,-1.5807617921370312e-06,0.5242231698537438,-1.1482798301694176e-06,0.8872088801640352,user_mean,0,0,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
average_heart_rate,201,4.868081740224377,3.34419753751882,-0.1440088768030265,0.7032739496590052,-0.02080443529499024,0.7083582519135375,user_mean,0,0,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
average_hrv,201,14.81253611746451,10.56590047759684,-0.09607017210532216,0.5378077704620347,-0.003488078250621086,0.8407164830526646,user_mean,0,0,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
deep_sleep_duration,201,1451.921272489971,1129.651640970983,186.67332371587457,0.7802615703210695,0.1003181256858455,0.6965605733097108,user_mean,0,0,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
light_sleep_duration,201,4038.256954988021,3096.695028072933,101.18170689227172,0.9208679210163057,0.023073070661261044,0.48004351577425586,user_mean,0,0,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
rem_sleep_duration,201,1775.4951045676848,1375.0063788023185,14.651819690813591,0.7791000044846607,0.006429323717905041,0.5629760770283656,user_mean,0,0,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
average_breath,202,0.691536111047835,0.5021334149082396,0.06448931337238153,0.5023381587914744,0.04684562732685363,0.8549760721143416,user_mean,0,1,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
average_heart_rate,202,4.801598122452091,3.1497246529278344,-0.3950578998253025,0.6936693047591479,-0.05707256869958111,0.7905919272930274,user_mean,0,1,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
average_hrv,202,14.983162411480443,9.402162018933147,1.5112485825702793,0.5440028032396232,0.05486982272048318,0.8686208515386213,user_mean,0,1,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
deep_sleep_duration,202,1347.9936513454109,1046.6941162917783,43.30312474759928,0.724410932679456,0.023271071755444895,0.6203418168529513,user_mean,0,1,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
light_sleep_duration,202,3436.765074651901,2624.2257375090035,242.84642553863372,0.7837061248435422,0.05537772497012045,0.5414829864417158,user_mean,0,1,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
rem_sleep_duration,202,1711.4857977046975,1337.8936621512123,-63.76274722957817,0.751012260882486,-0.02797955146410534,0.6141657558462861,user_mean,0,1,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
average_breath,194,0.6414268248554036,0.4465915619320049,0.003494242263534517,0.46593831478893916,0.0025382495534117754,0.8570679761664299,user_mean,0,2,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
average_heart_rate,194,4.741097548134333,3.1336304649414393,-0.3455472323122924,0.6849290082465576,-0.04991994379511032,0.8130790349504626,user_mean,0,2,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
average_hrv,194,15.055133261717241,9.442370779513123,1.4629888280174608,0.5466158927333578,0.05311762641910201,0.8961311226209053,user_mean,0,2,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
deep_sleep_duration,194,1460.278547119049,1123.7823972821566,-167.65817241858892,0.7847527644024854,-0.09009939544734676,0.6256821658542056,user_mean,0,2,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
light_sleep_duration,194,3707.661877153287,2872.4501443003464,157.08493923564782,0.8454803452832013,0.0358210195708888,0.4975239690580987,user_mean,0,2,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
rem_sleep_duration,194,1788.6563863503452,1407.9862963843289,92.38380826949532,0.7848752694625899,0.04053867862091307,0.6024719133594674,user_mean,0,2,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
average_breath,196,0.6159786971038711,0.4254765549607105,0.03544920850023538,0.44745256193356764,0.025750629423589914,0.9129892009465551,user_mean,0,3,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
average_heart_rate,196,3.037156754849223,2.3931800317703433,0.5125066260697434,0.4387669190242256,0.07403995626537416,0.8594326156699912,user_mean,0,3,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
average_hrv,196,12.528086972950323,8.775047057700743,-1.4812584545447003,0.45486488401759106,-0.053780952876629026,0.8578600449622156,user_mean,0,3,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
deep_sleep_duration,196,1480.0657337522493,1160.164323438422,24.766183531429363,0.7953863859405041,0.013309331311024209,0.5860317116533529,user_mean,0,3,Night blocks masking (2-3 day gaps),1735beb7db6d,2026-08-17T17:05:15
